,ESTADO,MUNICIPIO,MUJERES_INSEGURAS,TOTAL_MUJERES,TRIMESTRES,PERCEPCION_INSEGURIDAD,FEMINICIDIO,VIOLENCIA_FAMILIAR,VIOLENCIA_GENERO,TOTAL_DELITOS,POBLACION,FECHA
25,Ciudad de mexico,Tlahuac,91,130,2022-Q1,70000.0,0.0,125.52366095181027,0.0,125.52366095181027,387178,2022-01-01
26,Ciudad de mexico,Tlalpan,105,153,2022-Q1,68627.45098039215,0.42645196231870464,85.00609115552845,0.0,85.43254311784716,703479,2022-01-01
27,Ciudad de mexico,Venustiano carranza,94,157,2022-Q1,59872.61146496815,0.4339213691087038,93.07613367381697,0.0,93.51005504292567,460913,2022-01-01
28,Ciudad de mexico,Xochimilco,117,147,2022-Q1,79591.83673469388,0.4582657391368106,88.21615478383605,0.0,88.67442052297285,436428,2022-01-01
29,Coahuila de zaragoza,Matamoros,10,13,2022-Q1,76923.07692307692,0.8814300320840532,95.19444346507774,0.0,96.0758734971618,113452,2022-01-01
30,Coahuila de zaragoza,Nava,3,4,2022-Q1,75000.0,0.0,86.03289103603454,0.0,86.03289103603454,30221,2022-01-01
31,Coahuila de zaragoza,Piedras negras,43,136,2022-Q1,31617.647058823528,0.0,128.03472789571876,0.0,128.03472789571876,164018,2022-01-01
32,Coahuila de zaragoza,Ramos arizpe,4,9,2022-Q1,44444.444444444445,0.0,83.78154737277616,0.0,83.78154737277616,96680,2022-01-01
33,Coahuila de zaragoza,Saltillo,37,122,2022-Q1,30327.868852459018,0.12377417154852628,117.95678548574556,0.0,118.08055965729409,807923,2022-01-01
34,Coahuila de zaragoza,Torreon,41,79,2022-Q1,51898.73417721519,0.2871133480431072,113.40977247702735,0.0,113.69688582507045,696589,2022-01-01
35,Colima,Colima,50,54,2022-Q1,92592.5925925926,0.0,197.13135476603452,0.0,197.13135476603452,156241,2022-01-01
36,Colima,Manzanillo,115,142,2022-Q1,80985.91549295775,0.0,148.58756741735525,0.0,148.58756741735525,176327,2022-01-01
37,Colima,Villa de alvarez,88,94,2022-Q1,93617.02127659574,0.0,133.80621119799721,0.0,133.80621119799721,139007,2022-01-01
38,Durango,Durango,69,142,2022-Q1,48591.54929577465,0.15294027682190106,97.88177716601666,0.0,98.03471744283857,653850,2022-01-01
39,Durango,Gomez palacio,21,38,2022-Q1,55263.15789473685,0.2821176882148157,81.81412958229654,0.0,82.09624727051137,354462,2022-01-01
40,Durango,Lerdo,8,13,2022-Q1,61538.46153846154,0.0,72.83936967931167,0.0,72.83936967931167,153763,2022-01-01
41,Guanajuato,Guanajuato,118,168,2022-Q1,70238.09523809524,0.0,114.60803523800973,0.0,114.60803523800973,189341,2022-01-01
42,Guanajuato,Irapuato,149,161,2022-Q1,92546.58385093167,0.0,80.61174781871544,0.0,80.61174781871544,576839,2022-01-01
43,Guanajuato,Leon,118,141,2022-Q1,83687.94326241134,0.06214109633050612,37.968209857939236,0.0,38.03035095426974,1609241,2022-01-01
44,Guanajuato,Purisima del rincon,3,4,2022-Q1,75000.0,0.0,20.639568633015568,0.0,20.639568633015568,77521,2022-01-01
45,Guanajuato,San francisco del rincon,13,15,2022-Q1,86666.66666666667,0.0,28.700581186769032,0.0,28.700581186769032,125433,2022-01-01
46,Guerrero,Acapulco de juarez,94,123,2022-Q1,76422.76422764228,0.0,38.996059926398004,6.744601559597139,45.74066148599514,815467,2022-01-01
47,Guerrero,Chilpancingo de los bravo,116,146,2022-Q1,79452.05479452055,0.0,75.23688715557317,1.0903896689213501,76.32727682449452,275131,2022-01-01
48,Guerrero,Zihuatanejo de azueta,96,141,2022-Q1,68085.10638297872,0.0,34.548975180980385,0.0,34.548975180980385,124461,2022-01-01
49,Hidalgo,Mineral de la reforma,24,38,2022-Q1,63157.8947368421,0.0,95.39061009521718,0.0,95.39061009521718,172973,2022-01-01
50,Hidalgo,Pachuca de soto,55,99,2022-Q1,55555.555555555555,0.3274415680521811,105.7636264808545,0.0,106.09106804890668,305398,2022-01-01
51,Jalisco,Guadalajara,130,148,2022-Q1,87837.83783783784,0.0,45.84283658899892,0.0,45.84283658899892,1496417,2022-01-01
52,Jalisco,Puerto vallarta,54,139,2022-Q1,38848.92086330936,0.36662804851222336,42.16222557890569,0.0,42.52885362741791,272756,2022-01-01
53,Jalisco,San pedro tlaquepaque,100,137,2022-Q1,72992.700729927,0.0,45.0880664378752,0.0,45.0880664378752,656493,2022-01-01
54,Jalisco,Tlajomulco de zuniga,101,142,2022-Q1,71126.76056338029,0.17328740061967574,61.34373981936521,0.0,61.51702721998489,577076,2022-01-01
55,Jalisco,Tonala,105,136,2022-Q1,77205.88235294117,0.0,50.41381338486745,0.0,50.41381338486745,523666,2022-01-01
56,Jalisco,Zapopan,97,151,2022-Q1,64238.410596026486,0.2155562644961588,38.51271925664704,0.0,38.728275521143196,1391748,2022-01-01
57,Mexico,Almoloya de juarez,4,4,2022-Q1,100000.0,0.0,44.00999212779014,4.3390133083736755,48.349005436163814,161327,2022-01-01
58,Mexico,Atizapan de zaragoza,107,162,2022-Q1,66049.38271604938,0.5746487938121818,28.923989288546483,2.490144773186121,31.988782855544788,522058,2022-01-01
59,Mexico,Chimalhuacan,116,146,2022-Q1,79452.05479452055,0.29727488116436623,23.7819904931493,2.5268364898971134,26.606101864210782,672778,2022-01-01
60,Mexico,Cuautitlan izcalli,135,151,2022-Q1,89403.97350993377,0.0,43.143465676369395,3.640798791254801,46.7842644676242,549330,2022-01-01
61,Mexico,Ecatepec de morelos,137,152,2022-Q1,90131.57894736841,0.2357841325531236,29.649854668555296,3.6546540545734163,33.54029285568184,1696467,2022-01-01
62,Mexico,Lerma,4,7,2022-Q1,57142.85714285714,0.647295276686366,33.65935438769104,5.178362213490928,39.485011877868324,154489,2022-01-01
63,Mexico,Metepec,10,16,2022-Q1,62500.0,0.0,40.85707185368956,2.527241557960179,43.38431341164974,237413,2022-01-01
